unique_transaction_id,transaction_status,obligatedamount,baseandexercisedoptionsvalue,baseandalloptionsvalue,maj_agency_cat,mod_agency,maj_fund_agency_cat,contractingofficeagencyid,contractingofficeid,fundingrequestingagencyid,fundingrequestingofficeid,fundedbyforeignentity,signeddate,effectivedate,currentcompletiondate,ultimatecompletiondate,lastdatetoorder,contractactiontype,reasonformodification,typeofcontractpricing,priceevaluationpercentdifference,subcontractplan,lettercontract,multiyearcontract,performancebasedservicecontract,majorprogramcode,contingencyhumanitarianpeacekeepingoperation,contractfinancing,costorpricingdata,costaccountingstandardsclause,descriptionofcontractrequirement,purchasecardaspaymentmethod,numberofactions,nationalinterestactioncode,progsourceagency,progsourceaccount,progsourcesubacct,account_title,rec_flag,typeofidc,multipleorsingleawardidc,programacronym,vendorname,vendoralternatename,vendorlegalorganizationname,vendordoingasbusinessname,divisionname,divisionnumberorofficecode,vendorenabled,vendorlocationdisableflag,ccrexception,streetaddress,streetaddress2,streetaddress3,city,state,zipcode,vendorcountrycode,vendor_state_code,vendor_cd,congressionaldistrict,vendorsitecode,vendoralternatesitecode,dunsnumber,parentdunsnumber,phoneno,faxno,registrationdate,renewaldate,mod_parent,locationcode,statecode,PlaceofPerformanceCity,pop_state_code,placeofperformancecountrycode,placeofperformancezipcode,pop_cd,placeofperformancecongressionaldistrict,psc_cat,productorservicecode,systemequipmentcode,claimantprogramcode,principalnaicscode,informationtechnologycommercialitemcategory,gfe_gfp,useofepadesignatedproducts,recoveredmaterialclauses,seatransportation,contractbundling,consolidatedcontract,countryoforigin,placeofmanufacture,manufacturingorganizationtype,agencyid,piid,modnumber,transactionnumber,fiscal_year,idvagencyid,idvpiid,idvmodificationnumber,solicitationid,extentcompeted,reasonnotcompeted,numberofoffersreceived,commercialitemacquisitionprocedures,commercialitemtestprogram,smallbusinesscompetitivenessdemonstrationprogram,a76action,competitiveprocedures,solicitationprocedures,typeofsetaside,localareasetaside,evaluatedpreference,fedbizopps,research,statutoryexceptiontofairopportunity,organizationaltype,numberofemployees,annualrevenue,firm8aflag,hubzoneflag,sdbflag,issbacertifiedsmalldisadvantagedbusiness,shelteredworkshopflag,hbcuflag,educationalinstitutionflag,womenownedflag,veteranownedflag,srdvobflag,localgovernmentflag,minorityinstitutionflag,aiobflag,stategovernmentflag,federalgovernmentflag,minorityownedbusinessflag,apaobflag,tribalgovernmentflag,baobflag,naobflag,saaobflag,nonprofitorganizationflag,isothernotforprofitorganization,isforprofitorganization,isfoundation,haobflag,ishispanicservicinginstitution,emergingsmallbusinessflag,hospitalflag,contractingofficerbusinesssizedetermination,is1862landgrantcollege,is1890landgrantcollege,is1994landgrantcollege,isveterinarycollege,isveterinaryhospital,isprivateuniversityorcollege,isschoolofforestry,isstatecontrolledinstitutionofhigherlearning,isserviceprovider,receivescontracts,receivesgrants,receivescontractsandgrants,isairportauthority,iscouncilofgovernments,ishousingauthoritiespublicortribal,isinterstateentity,isplanningcommission,isportauthority,istransitauthority,issubchapterscorporation,islimitedliabilitycorporation,isforeignownedandlocated,isarchitectureandengineering,isdotcertifieddisadvantagedbusinessenterprise,iscitylocalgovernment,iscommunitydevelopedcorporationownedfirm,iscommunitydevelopmentcorporation,isconstructionfirm,ismanufacturerofgoods,iscorporateentitynottaxexempt,iscountylocalgovernment,isdomesticshelter,isfederalgovernmentagency,isfederallyfundedresearchanddevelopmentcorp,isforeigngovernment,isindiantribe,isintermunicipallocalgovernment,isinternationalorganization,islaborsurplusareafirm,islocalgovernmentowned,ismunicipalitylocalgovernment,isnativehawaiianownedorganizationorfirm,isotherbusinessororganization,isotherminorityowned,ispartnershiporlimitedliabilitypartnership,isschooldistrictlocalgovernment,issmallagriculturalcooperative,issoleproprietorship,istownshiplocalgovernment,istriballyownedfirm,istribalcollege,isalaskannativeownedcorporationorfirm,iscorporateentitytaxexempt,iswomenownedsmallbusiness,isecondisadvwomenownedsmallbusiness,isjointventurewomenownedsmallbusiness,isjointventureecondisadvwomenownedsmallbusiness,walshhealyact,servicecontractact,davisbaconact,clingercohenact,otherstatutoryauthority,prime_awardee_executive1,prime_awardee_executive1_compensation,prime_awardee_executive2,prime_awardee_executive2_compensation,prime_awardee_executive3,prime_awardee_executive3_compensation,prime_awardee_executive4,prime_awardee_executive4_compensation,prime_awardee_executive5,prime_awardee_executive5_compensation,interagencycontractingauthority,last_modified_date
6f7935f5b33df4ae49a9c0cd99642755,active,9256.60,9256.60,9256.60,9700: DEPT OF DEFENSE,9763: DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),9700: DEPT OF DEFENSE,9763: DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),S1110A: DCMA AIMO - ST AUGUSTINE,1700: DEPT OF THE NAVY,N00189: NAVSUP FLT LOG CTR NORFOLK,Not Applicable,05/21/2008,05/21/2008,09/11/2010,09/11/2010,,DO Delivery Order,C: FUNDING ONLY ACTION,Y: Time and Materials,,D: PLAN REQUIRED - INCENTIVE INCLUDED ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,F: PERFORMANCE-BASED FINANCING,N: No,X,ADD FUNDS,N: No,1,NONE: NONE,17,1806,,,,,: ,,NORTHROP GRUMMAN SYSTEMS CORPORATION,ELECTRONIC SYSTEMS COMPANY (ESCO),NORTHROP GRUMMAN INFORMATION TECHNOLOGY INCORPORATED,INTEGRATED SYSTEMS,,,,,,5000 US HIGHWAY 1 N,,,SAINT AUGUSTINE,FL,320956200,UNITED STATES,FL,FL07,FL07,1966028660000PR,320956200,196602866,016435559,,,02/03/2005,08/01/2008,NORTHROP GRUMMAN CORPORATION,,FL: FLORIDA,SAINT AUGUSTINE,FL: FLORIDA,USA: UNITED STATES,320956200,FL07,FL07,16,1680: MISCL AIRCRAFT ACCESSORIES COMPS,000: NONE,C9E: ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,541330: ENGINEERING SERVICES,Z: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,N: NO,D: NOT A BUNDLED REQUIREMENT,N: No,USA,D: MFG IN U.S.,: ,9700: DEPT OF DEFENSE,Z513,1C,0,2008,9700,N0018907DZ031,0,,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,D: ,N: No,N: NO,No,,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,,122000,28,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,05/03/2013
a53d25acdd2f014061fdac23b9466a80,active,795.69,795.69,795.69,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,2100: DEPT OF THE ARMY,W25G1Q: W0L6 USA DEP LETTERKENY,Not Applicable,11/08/2007,11/08/2007,11/25/2007,11/25/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"ROLL, TOOLS & ACCESSORIES: IN CONTRACT ACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBNU1918,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
59ae56b977386d0a70896ac84ff0dab5,active,192.00,192.00,192.00,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,1700: DEPT OF THE NAVY,N42158: NORFOLK NAVAL SHIPYARD GF,Not Applicable,12/14/2007,12/14/2007,12/31/2007,12/31/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"NOZZLE, CAULKING GUN: SEE DESCRIPITION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBR04478,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
e91ee87415be89b9522334d0770bdbfa,active,30.70,30.70,30.70,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,: ,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,: ,: ,Not Applicable,10/19/2007,10/19/2007,11/05/2007,11/05/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"HAMMER, HAND: SEE DESCRIPTION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNEMG0447,0,0,2008,4730,GS06FT0122,0,,CDO: COMPETITIVE DELIVERY ORDER,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,10/08/2009
f739d12a276ae7385456b3eaf4648e89,active,27.76,27.76,27.76,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,: ,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,: ,: ,Not Applicable,11/29/2007,11/29/2007,12/16/2007,12/16/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"DRILL, TWIST: SEE DESCRIPTION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBPF7118,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
a8007f5f45843f6a039fef190ce734cd,active,56.48,56.48,56.48,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,2100: DEPT OF THE ARMY,W906TP: W0DA ASC CMBT EQ BASE AFLOAT,Not Applicable,12/04/2007,12/04/2007,12/21/2007,12/21/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,SOCKET SOCKET WRENCH (3/4INCH): SEE DESCRIPTION IN CONTRACT,N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBPK0338,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
19926b9a944c059b26d65ca024ee0032,active,374.70,374.70,374.70,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,1700: DEPT OF THE NAVY,N00207: NAVAL AIR STATION,Not Applicable,12/11/2007,12/11/2007,12/28/2007,12/28/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,TOOL RETAINER: SEE DESCRIPTION IN CONTRACT,N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBPV2478,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
7b8baded7426f2a3a6101e8f1c999129,active,74.40,74.40,74.40,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,: ,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,: ,: ,Not Applicable,11/20/2007,11/20/2007,12/07/2007,12/07/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"SYRINGE, SOLDER REMOVER: SEE DESCRIPTION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBP68438,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
b0101005fe42098ac72f57fb06c03d21,active,44.10,44.10,44.10,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,5700: DEPT OF THE AIR FORCE,FB4664: FB4664  452 LRS LGRT,Not Applicable,11/23/2007,11/23/2007,12/10/2007,12/10/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"STRIPPER, WIRE, HAND: SEE DESCRIPTION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBP85898,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
ba06d3eb82587cc0b67b9908393ea385,active,256.32,256.32,256.32,4700: GENERAL SERVICES ADMINISTRATION,4730: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4730: FEDERAL ACQUISITION SERVICE,GV000: GSA/FSS TOOLS ACQUISITION DIVISION II,1700: DEPT OF THE NAVY,M99933: COMMANDER,Not Applicable,12/05/2007,12/05/2007,12/22/2007,12/22/2007,,DO Delivery Order,: ,K: Fixed Price with Economic Price Adjustment,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"TAPE, MEASURING: SEE DESCRIPTION IN CONTRACT",N: No,1,NONE: NONE,,,,,,,: ,,KAUFMAN COMPANY INCORPORATED,,,,,,,,,19 WALKHILL RD,,,NORWOOD,MA,020623522,UNITED STATES,MA,MA09,MA09,0038561430000PR,020623522,003856143,003856143,,,01/21/2002,05/04/2008,KAUFMAN COMPANY  INC.,50285,MA: MASSACHUSETTS,NORWOOD,MA: MASSACHUSETTS,USA: UNITED STATES,020623522,MA09,MA09,51,"5120: HAND TOOLS, NONEDGED, NONPOWERED",: ,: ,332212: HAND AND EDGE TOOL MANUFACTURING,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,,: ,: ,4730: FEDERAL ACQUISITION SERVICE,GSMPNBPM0098,0,0,2008,4730,GS06FT0122,0,,: ,: ,9,D: ,N: No,N: NO,No,,NP: NEGOTIATED PROPOSAL/QUOTE,NONE: NO SET ASIDE USED.,,NONE: NO PREFERENCE USED,X,,,,55,22000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,,,,,,,,,,,X: Not Applicable,08/22/2009
